2020-07-16 15:15:55 status unpacked systemd-sysv:amd64 241-7~deb10u4
2020-07-16 15:15:55 install perl-modules-5.28:all <none> 5.28.1-6
2020-07-16 15:15:55 status half-installed perl-modules-5.28:all 5.28.1-6
2020-07-16 15:15:56 status unpacked perl-modules-5.28:all 5.28.1-6
2020-07-16 15:15:56 install libgdbm6:amd64 <none> 1.18.1-4
2020-07-16 15:15:56 status half-installed libgdbm6:amd64 1.18.1-4
2020-07-16 15:15:56 status unpacked libgdbm6:amd64 1.18.1-4
2020-07-16 15:15:56 install libgdbm-compat4:amd64 <none> 1.18.1-4
2020-07-16 15:15:56 status half-installed libgdbm-compat4:amd64 1.18.1-4
2020-07-16 15:15:56 status unpacked libgdbm-compat4:amd64 1.18.1-4
2020-07-16 15:15:56 install libperl5.28:amd64 <none> 5.28.1-6
2020-07-16 15:15:56 status half-installed libperl5.28:amd64 5.28.1-6
2020-07-16 15:15:56 status unpacked libperl5.28:amd64 5.28.1-6
2020-07-16 15:15:56 install perl:amd64 <none> 5.28.1-6
2020-07-16 15:15:56 status half-installed perl:amd64 5.28.1-6
2020-07-16 15:15:56 status unpacked perl:amd64 5.28.1-6
2020-07-16 15:15:56 install liblocale-gettext-perl:amd64 <none> 1.07-3+b4
2020-07-16 15:15:56 status half-installed liblocale-gettext-perl:amd64 1.07-3+b4
2020-07-16 15:15:56 status unpacked liblocale-gettext-perl:amd64 1.07-3+b4
2020-07-16 15:15:56 install libdouble-conversion1:amd64 <none> 3.1.0-3
2020-07-16 15:15:56 status half-installed libdouble-conversion1:amd64 3.1.0-3
2020-07-16 15:15:56 status unpacked libdouble-conversion1:amd64 3.1.0-3
2020-07-16 15:15:56 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u2
2020-07-16 15:15:56 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-07-16 15:15:57 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-07-16 15:15:57 install libicu63:amd64 <none> 63.1-6+deb10u1
2020-07-16 15:15:57 status half-installed libicu63:amd64 63.1-6+deb10u1
2020-07-16 15:15:57 status unpacked libicu63:amd64 63.1-6+deb10u1
2020-07-16 15:15:57 install libpcre2-16-0:amd64 <none> 10.32-5
2020-07-16 15:15:57 status half-installed libpcre2-16-0:amd64 10.32-5
2020-07-16 15:15:58 status unpacked libpcre2-16-0:amd64 10.32-5
2020-07-16 15:15:58 install libqt5core5a:amd64 <none> 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:15:58 status half-installed libqt5core5a:amd64 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:15:58 status unpacked libqt5core5a:amd64 5.11.3+dfsg1-1+deb10u3
2020-07-16 15:15:58 install libexpat1:amd64 <none> 2.2.6-2+deb10u1
2020-07-16 15:15:58 status half-installed libexpat1:amd64 2.2.6-2+deb10u1
2020-07-16 15:15:58 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2020-07-16 15:15:58 install libpng16-16:amd64 <none> 1.6.36-6
2020-07-16 15:15:58 status half-installed libpng16-16:amd64 1.6.36-6
2020-07-16 15:15:58 status unpacked libpng16-16:amd64 1.6.36-6
2020-07-16 15:15:58 install libfreetype6:amd64 <none> 2.9.1-3+deb10u1
2020-07-16 15:15:58 status half-installed libfreetype6:amd64 2.9.1-3+deb10u1
2020-07-16 15:15:58 status unpacked libfreetype6:amd64 2.9.1-3+deb10u1
2020-07-16 15:15:58 install ucf:all <none> 3.0038+nmu1
2020-07-16 15:15:58 status half-installed ucf:all 3.0038+nmu1
2020-07-16 15:15:58 status unpacked ucf:all 3.0038+nmu1
2020-07-16 15:15:58 install fonts-dejavu-core:all <none> 2.37-1
2020-07-16 15:15:58 status half-installed fonts-dejavu-core:all 2.37-1
2020-07-16 15:15:58 status unpacked fonts-dejavu-core:all 2.37-1
2020-07-16 15:15:58 install fontconfig-config:all <none> 2.13.1-2
2020-07-16 15:15:58 status half-installed fontconfig-config:all 2.13.1-2
2020-07-16 15:15:58 status unpacked fontconfig-config:all 2.13.1-2
2020-07-16 15:15:58 install libfontconfig1:amd64 <none> 2.13.1-2
2020-07-16 15:15:58 status half-installed libfontconfig1:amd64 2.13.1-2
2020-07-16 15:15:58 status unpacked libfontconfig1:amd64 2.13.1-2
2020-07-16 15:15:59 install fontconfig:amd64 <none> 2.13.1-2
2020-07-16 15:15:59 status half-installed fontconfig:amd64 2.13.1-2
2020-07-16 15:15:59 status unpacked fontconfig:amd64 2.13.1-2
2020-07-16 15:15:59 install libdrm-common:all <none> 2.4.97-1
2020-07-16 15:15:59 status half-installed libdrm-common:all 2.4.97-1
2020-07-16 15:15:59 status unpacked libdrm-common:all 2.4.97-1
2020-07-16 15:15:59 install libdrm2:amd64 <none> 2.4.97-1
2020-07-16 15:15:59 status half-installed libdrm2:amd64 2.4.97-1
2020-07-16 15:15:59 status unpacked libdrm2:amd64 2.4.97-1
2020-07-16 15:15:59 install libglvnd0:amd64 <none> 1.1.0-1
2020-07-16 15:15:59 status half-installed libglvnd0:amd64 1.1.0-1
2020-07-16 15:15:59 status unpacked libglvnd0:amd64 1.1.0-1
2020-07-16 15:15:59 install libwayland-server0:amd64 <none> 1.16.0-1
2020-07-16 15:15:59 status half-installed libwayland-server0:amd64 1.16.0-1
2020-07-16 15:15:59 status unpacked libwayland-server0:amd64 1.16.0-1
2020-07-16 15:15:59 install libgbm1:amd64 <none> 18.3.6-2+deb10u1
2020-07-16 15:15:59 status half-installed libgbm1:amd64 18.3.6-2+deb10u1
2020-07-16 15:15:59 status unpacked libgbm1:amd64 18.3.6-2+deb10u1
2020-07-16 15:15:59 install libglapi-mesa:amd64 <none> 18.3.6-2+deb10u1
2020-07-16 15:15:59 status half-installed libglapi-mesa:amd64 18.3.6-2+deb10u1
2020-07-16 15:15:59 status unpacked libglapi-mesa:amd64 18.3.6-2+deb10u1
2020-07-16 15:15:59 install libwayland-client0:amd64 <none> 1.16.0-1
2020-07-16 15:15:59 status half-installed libwayland-client0:amd64 1.16.0-1
2020-07-16 15:15:59 status unpacked libwayland-client0:amd64 1.16.0-1
2020-07-16 15:15:59 install libx11-xcb1:amd64 <none> 2:1.6.7-1
2020-07-16 15:15:59 status half-installed libx11-xcb1:amd64 2:1.6.7-1
2020-07-16 15:15:59 status unpacked libx11-xcb1:amd64 2:1.6.7-1
2020-07-16 15:15:59 install libxau6:amd64 <none> 1:1.0.8-1+b2
2020-07-16 15:15:59 status half-installed libxau6:amd64 1:1.0.8-1+b2
2020-07-16 15:15:59 status unpacked libxau6:amd64 1:1.0.8-1+b2
2020-07-16 15:15:59 install libbsd0:amd64 <none> 0.9.1-2
2020-07-16 15:15:59 status half-installed libbsd0:amd64 0.9.1-2
2020-07-16 15:15:59 status unpacked libbsd0:amd64 0.9.1-2
2020-07-16 15:15:59 install libxdmcp6:amd64 <none> 1:1.1.2-3
2020-07-16 15:15:59 status half-installed libxdmcp6:amd64 1:1.1.2-3
2020-07-16 15:15:59 status unpacked libxdmcp6:amd64 1:1.1.2-3
2020-07-16 15:15:59 install libxcb1:amd64 <none> 1.13.1-2
2020-07-16 15:15:59 status half-installed libxcb1:amd64 1.13.1-2
2020-07-16 15:15:59 status unpacked libxcb1:amd64 1.13.1-2
2020-07-16 15:15:59 install libxcb-dri2-0:amd64 <none> 1.13.1-2
2020-07-16 15:15:59 status half-installed libxcb-dri2-0:amd64 1.13.1-2
2020-07-16 15:15:59 status unpacked libxcb-dri2-0:amd64 1.13.1-2
2020-07-16 15:15:59 install libxcb-dri3-0:amd64 <none> 1.13.1-2
2020-07-16 15:15:59 status half-installed libxcb-dri3-0:amd64 1.13.1-2
